ID,Sentence,Sentiment
1,Bishop-frank delivers superb results in unleash magnetic synergies.,positive
2,Why didn't i try williams-harrison's delivery sooner?...,positive
3,A superb experience with santiago plc's product,positive
4,"Bender, gilbert and james maintains average industry standards",neutral
5,I'm delighted by woods inc's ui implementation,positive
6,"Frazier, palmer and mullen's approach feels ordinary but standard",neutral
7,Why didn't i try carlson group's delivery sooner?,positive
8,The platform from nunez ltd feels ecstatic and impressive!!,positive
9,Peterson group's worst approach ruined my experience,negative
10,Avoid walker-watkins's abysmal software at all costs!,negative
11,The support from warren-davis seems typical!,neutral
12,Avoid fisher-friedman's terrible service at all costs.,negative
13,"I'm awful with thomas, barrera and fernandez's poor team",negative
14,Hansen ltd's platform offers acceptable performance,neutral
15,"Rice, baker and greene's software proved horrendous and worst",negative
16,A acceptable experience with turner-fuller's delivery,neutral
17,"Why didn't i try bailey, dunn and love's delivery sooner?",positive
18,Bush-wolfe sets the outstanding standard for strategize sticky content.,positive
19,This software provides ordinary functionality,neutral
20,"Russell, gilbert and cohen delivers exceptional results in re-contextualize vertical web services",positive
21,"The team from rose, christensen and hoffman seems common!",neutral
22,The delivery from bennett llc seems average,neutral
23,"Cole, ponce and nielsen's software proved atrocious and avoid",negative
24,"Never dealing with powell, simmons and thomas's terrible team again",negative
25,"I'm refreshing by hicks, lewis and baker's cloud integration implementation",positive
26,Kim-reid's software offers acceptable performance,neutral
27,"Green, ramirez and lewis's avoid approach ruined my experience.",negative
28,"Sherman, green and peters sets the stellar standard for grow world-class web services",positive
29,I'm excellent by pacheco-williams's ui implementation!,positive
30,The response from trevino ltd seems moderate.,neutral
31,Duncan-porter sets the joyful standard for leverage plug-and-play relationships,positive
32,The software from mcclain-brown feels thrilling and joyful!,positive
33,Never dealing with beck group's frustrating team again,negative
34,Avoid washington-johnson's awful service at all costs!,negative
35,Why does cowan-hardin tolerate such repulsive service?,negative
36,"Livingston, oneill and sparks's service offers sufficient performance...",neutral
37,I'm broken with horton and sons's poor response,negative
38,The awful quality from kemp-chaney shocked me,negative
39,The support from maldonado inc seems standard,neutral
40,"Thomas, parks and sharp maintains sufficient industry standards",neutral
41,The support from lopez-hernandez seems average,neutral
42,"The product from jackson, brown and carter feels impressive and refreshing!.",positive
43,Buchanan-west sets the excellent standard for re-intermediate web-enabled supply-chains,positive
44,Ford-knight's broken approach ruined my experience,negative
45,A sufficient experience with obrien-long's support,neutral
46,Fernandez-salazar's approach feels acceptable but ordinary,neutral
47,"Avoid willis, bowman and cole's dreadful platform at all costs",negative
48,Underwood-wright delivers stellar results in disintermediate turn-key info-mediaries,positive
49,Poole-franco maintains regular industry standards,neutral
50,The worst quality from lee-schmidt shocked me!,negative
51,I'm horrendous with zavala-ramirez's poor delivery...,negative
52,"I'm wonderful by hunter, thomas and williams's cloud integration implementation",positive
53,A stellar experience with williams ltd's software!,positive
